timestamp,symbol,session,volatility,liquidity,trend_strength,momentum_3h,momentum_6h,divergence,volume_delta,market_state,sentinel_probability,sentinel_direction,sentinel_confidence,council_approved,council_veto_reason,council_score,meta_utility,meta_threshold,meta_risk_pct,meta_sl_atr,meta_tp_atr,meta_market_state,meta_system_state,meta_hibernation,system_drawdown,system_win_rate_24h,system_latency_ms,system_consecutive_losses,trade_opened,trade_closed,trade_pnl,trade_r_multiple,trade_mae,trade_mfe,trade_duration_minutes
2026-06-01T00:00:00,EURUSD,asia,0.003737,0.4714,-0.7209,-0.0159,0.01444,0.0454,180.99,trending_bull,0.4473,neutral,0.4421,False,low_probability,0.5054,0.0265,0.4597,1.47,2.09,2.05,trending_bull,hibernation,True,15.18,30.29,403.88,5,False,False,0.0,0.0,0.0,0.0,0.0
2026-06-01T01:00:00,XAUUSD,london,0.004795,0.5356,-0.8145,-0.016131,0.02085,0.1037,614.26,volatile,0.6367,sell,0.9325,True,,0.3785,0.9147,0.5856,1.79,2.15,3.26,volatile,active,False,9.92,64.79,492.68,1,True,True,-19.7,-1.97,-2.2,0.42,103.19
2026-06-01T02:00:00,GBPUSD,london,0.003387,0.7913,0.3671,-0.017144,0.008099,0.0341,-510.38,volatile,0.4107,neutral,0.9432,False,low_probability,0.64,0.5569,0.6054,1.76,2.55,2.07,volatile,active,False,12.08,48.05,37.76,4,False,False,0.0,0.0,0.0,0.0,0.0
2026-06-01T03:00:00,GBPUSD,london,0.003315,0.5769,0.8291,-0.001646,-0.014107,-0.2534,122.74,ranging,0.7057,buy,0.5785,True,,0.5835,0.9987,0.4415,1.24,2.51,3.65,ranging,monitoring,False,9.41,65.64,213.97,0,True,True,19.9,1.99,-0.27,1.35,278.95
2026-06-01T04:00:00,EURUSD,asia,0.003444,0.6759,-0.4663,0.005638,-0.023307,-0.0652,-92.55,ranging,0.6281,sell,0.7953,True,,0.5077,0.8127,0.6525,1.26,1.4,2.43,ranging,monitoring,False,8.09,65.04,267.53,0,True,True,-16.8,-1.68,-1.48,0.18,473.39
2026-06-01T05:00:00,GBPUSD,london,0.000384,0.9146,0.8939,-0.016574,-0.000841,-0.4308,521.2,trending_bear,0.5461,buy,0.6089,False,low_probability,0.5498,0.2651,0.6617,1.13,1.42,2.85,trending_bear,monitoring,False,10.69,47.95,337.49,2,False,False,0.0,0.0,0.0,0.0,0.0
2026-06-01T06:00:00,USDJPY,overlap,0.000694,0.4573,-0.3238,0.003532,-0.016193,-0.2798,-858.01,trending_bull,0.3482,neutral,0.8885,False,low_probability,0.8596,0.0709,0.4714,1.5,1.43,1.83,trending_bull,cooling,False,3.64,51.28,206.49,0,False,False,0.0,0.0,0.0,0.0,0.0
2026-06-01T07:00:00,EURUSD,overlap,0.001838,0.5878,0.7277,-0.017833,0.009207,0.1462,-878.77,ranging,0.6813,buy,0.371,True,,0.1916,0.5701,0.455,1.19,2.75,1.69,ranging,active,False,0.76,74.97,418.83,0,True,True,-7.1,-0.71,-0.65,0.24,126.19
2026-06-01T08:00:00,USDJPY,asia,0.000908,0.3015,-0.2192,0.017061,0.017108,-0.2148,393.18,low_volatility,0.4362,neutral,0.6163,False,low_probability,0.1899,0.2177,0.4175,1.6,1.12,2.28,low_volatility,active,False,8.76,52.63,427.1,1,False,False,0.0,0.0,0.0,0.0,0.0
2026-06-01T09:00:00,EURUSD,asia,0.004276,0.348,-0.8641,0.014473,-0.005773,0.4416,139.35,low_volatility,0.674,sell,0.7026,True,,0.4192,0.7614,0.6804,0.81,2.43,2.1,low_volatility,cooling,False,1.96,59.05,231.33,0,True,True,20.5,2.05,-0.22,1.17,271.94
2026-06-01T10:00:00,BTCUSD,ny,0.00075,0.5443,-0.8624,-0.010229,-0.012901,-0.0618,86.44,ranging,0.6785,sell,0.9417,True,,0.654,0.9086,0.4898,1.5,2.88,1.84,ranging,active,False,13.35,63.41,81.95,2,True,True,-10.6,-1.06,-1.0,0.32,148.79
2026-06-01T11:00:00,USDJPY,ny,0.004541,0.8923,-0.8154,-0.003057,-0.013399,-0.4965,542.24,ranging,0.5246,sell,0.5872,False,low_probability,0.7057,0.5609,0.4336,1.92,2.38,1.87,ranging,active,False,12.52,56.21,78.31,1,False,False,0.0,0.0,0.0,0.0,0.0
2026-06-01T12:00:00,EURUSD,ny,0.001889,0.9532,0.9444,-0.018404,-0.008531,0.1821,333.87,ranging,0.7618,buy,0.8747,True,,0.4064,0.5773,0.679,1.8,2.95,3.53,ranging,cooling,False,0.37,63.15,169.43,3,False,False,0.0,0.0,0.0,0.0,0.0
2026-06-01T13:00:00,XAUUSD,ny,0.000881,0.7909,-0.2349,-0.018451,-0.001759,-0.3004,836.9,ranging,0.3355,neutral,0.817,False,low_probability,0.2276,0.0237,0.4579,0.99,2.73,3.92,ranging,hibernation,True,13.63,52.92,341.36,3,False,False,0.0,0.0,0.0,0.0,0.0
2026-06-01T14:00:00,EURUSD,ny,0.000976,0.9738,-0.4691,-0.015664,-0.003926,0.2285,-372.65,low_volatility,0.6329,sell,0.3752,True,,0.8995,0.5222,0.5308,1.28,2.61,3.22,low_volatility,monitoring,False,5.46,33.15,333.8,2,False,False,0.0,0.0,0.0,0.0,0.0
2026-06-01T15:00:00,BTCUSD,ny,0.003354,0.3872,0.8001,0.000285,0.010014,-0.1738,394.42,low_volatility,0.5082,buy,0.5733,False,low_probability,0.9404,0.6773,0.6708,1.42,1.6,2.87,low_volatility,active,False,4.56,39.46,393.95,4,False,False,0.0,0.0,0.0,0.0,0.0
2026-06-01T16:00:00,GBPUSD,overlap,0.002267,0.7729,0.0223,0.011749,0.02759,0.236,317.7,ranging,0.3136,neutral,0.7114,False,low_probability,0.3352,0.8184,0.6253,1.51,1.45,2.0,ranging,active,False,0.69,74.28,307.58,0,False,False,0.0,0.0,0.0,0.0,0.0
2026-06-01T17:00:00,USDJPY,overlap,0.004447,0.703,0.4367,-0.004641,-0.006021,-0.3524,375.24,trending_bull,0.5582,buy,0.4422,True,,0.8041,0.7323,0.5672,1.88,1.24,1.83,trending_bull,cooling,False,10.01,74.46,299.75,3,True,True,-10.6,-1.06,-1.22,0.42,276.54
2026-06-01T18:00:00,XAUUSD,overlap,0.002308,0.8262,0.6797,-0.008908,0.01666,-0.0154,-521.51,volatile,0.4451,neutral,0.4857,False,low_probability,0.2717,0.3197,0.562,0.71,1.46,3.23,volatile,monitoring,False,0.96,48.34,273.59,3,False,False,0.0,0.0,0.0,0.0,0.0
2026-06-01T19:00:00,EURUSD,london,0.004185,0.5726,0.5396,0.017842,-0.028828,0.3807,151.38,volatile,0.3676,neutral,0.5286,False,low_probability,0.7535,0.8534,0.686,1.13,2.5,2.87,volatile,monitoring,False,7.32,42.28,245.39,3,False,False,0.0,0.0,0.0,0.0,0.0
2026-06-01T20:00:00,GBPUSD,overlap,0.003652,0.8884,0.8391,0.019229,0.002047,0.4069,183.79,trending_bull,0.5108,buy,0.5786,False,low_probability,0.8669,0.1817,0.478,0.99,1.91,2.34,trending_bull,cooling,False,4.17,72.8,213.67,0,False,False,0.0,0.0,0.0,0.0,0.0
2026-06-01T21:00:00,USDJPY,asia,0.003774,0.3365,0.9038,-0.011031,-0.025883,0.4573,-919.48,trending_bull,0.7964,buy,0.4296,True,,0.0204,0.5631,0.6008,1.35,1.44,3.25,trending_bull,hibernation,True,21.22,57.33,375.22,4,False,False,0.0,0.0,0.0,0.0,0.0
2026-06-01T22:00:00,GBPUSD,asia,0.002938,0.9502,0.1516,0.016321,-0.007482,0.4415,-603.34,low_volatility,0.4178,neutral,0.7077,False,low_probability,0.1019,0.7725,0.6551,1.4,1.24,3.96,low_volatility,active,False,5.21,49.28,188.43,4,False,False,0.0,0.0,0.0,0.0,0.0
2026-06-01T23:00:00,GBPUSD,asia,0.004267,0.8756,-0.7889,0.018432,0.008135,0.3287,414.62,volatile,0.5184,sell,0.6391,False,low_probability,0.6505,0.6159,0.6759,1.66,1.93,3.56,volatile,hibernation,True,22.99,41.05,467.64,4,False,False,0.0,0.0,0.0,0.0,0.0
2026-06-02T00:00:00,USDJPY,overlap,0.00175,0.646,-0.35,-0.000498,-0.008711,-0.2416,-440.68,low_volatility,0.5004,sell,0.4796,False,low_probability,0.0102,0.9481,0.4257,1.58,1.98,3.4,low_volatility,cooling,False,9.69,52.09,397.5,0,False,False,0.0,0.0,0.0,0.0,0.0
2026-06-02T01:00:00,GBPUSD,london,0.002084,0.4703,0.3279,-0.005239,0.003208,-0.1562,993.26,low_volatility,0.3804,neutral,0.7569,False,low_probability,0.2709,0.2514,0.4362,0.79,1.24,2.84,low_volatility,monitoring,False,2.87,63.24,141.87,4,False,False,0.0,0.0,0.0,0.0,0.0
2026-06-02T02:00:00,BTCUSD,ny,0.004909,0.8828,-0.4075,-0.005565,-0.011864,0.208,-746.83,trending_bull,0.6053,sell,0.6597,True,,0.6974,0.9342,0.5473,1.81,2.15,2.67,trending_bull,cooling,False,5.11,73.45,129.98,3,True,True,6.6,0.66,-0.25,0.6,338.9
