timestamp,symbol,market_state,state_description,state_veto,alpha_probability,alpha_prediction,alpha_confidence,whale_detected,council_approved,council_reason,council_boost,council_boost_amount,final_signal
2026-06-01 07:00:00,EURUSD,0,🟢 Estado base detectado (Estado 0). WR 30.46% — Operar con confianza.,False,0.6967,1,0.6967,False,False,🛡️ VETO: Falta de explosividad (Vela perezosa) (|rejection_speed|=0.00sigma < 1.8sigma),False,0.0,0
2026-06-01 08:00:00,EURUSD,1,🟢 Estado de Oro detectado (Estado 1). WR 35.62% — Óptimo para operar.,False,0.3961,0,0.6039,False,False,🛡️ VETO: Falta de explosividad (Vela perezosa) (|rejection_speed|=0.00sigma < 1.8sigma),False,0.0,0
2026-06-01 09:00:00,EURUSD,0,🟢 Estado base detectado (Estado 0). WR 30.46% — Operar con confianza.,False,0.6732,1,0.6732,False,False,🛡️ VETO: Falta de explosividad (Vela perezosa) (|rejection_speed|=0.00sigma < 1.8sigma),False,0.0,0
2026-06-01 10:00:00,EURUSD,0,🟢 Estado base detectado (Estado 0). WR 30.46% — Operar con confianza.,False,0.7001,1,0.7001,False,False,🛡️ VETO: Falta de explosividad (Vela perezosa) (|rejection_speed|=0.00sigma < 1.8sigma),False,0.0,0
2026-06-01 11:00:00,EURUSD,0,🟢 Estado base detectado (Estado 0). WR 30.46% — Operar con confianza.,False,0.7416,1,0.7416,False,False,🛡️ VETO: Falta de explosividad (Vela perezosa) (|rejection_speed|=0.00sigma < 1.8sigma),False,0.0,0
2026-06-01 12:00:00,EURUSD,0,🟢 Estado base detectado (Estado 0). WR 30.46% — Operar con confianza.,False,0.3637,0,0.6363,False,False,🛡️ VETO: Falta de explosividad (Vela perezosa) (|rejection_speed|=0.00sigma < 1.8sigma),False,0.0,0
2026-06-01 13:00:00,EURUSD,0,🟢 Estado base detectado (Estado 0). WR 30.46% — Operar con confianza.,False,0.7815,1,0.7815,False,False,🛡️ VETO: Falta de explosividad (Vela perezosa) (|rejection_speed|=0.00sigma < 1.8sigma),False,0.0,0
2026-06-01 14:00:00,EURUSD,0,🟢 Estado base detectado (Estado 0). WR 30.46% — Operar con confianza.,False,0.8415,1,0.8415,False,False,🛡️ VETO: Falta de explosividad (Vela perezosa) (|rejection_speed|=0.00sigma < 1.8sigma),False,0.0,0
2026-06-01 15:00:00,EURUSD,0,🟢 Estado base detectado (Estado 0). WR 30.46% — Operar con confianza.,False,0.7695,1,0.7695,False,False,🛡️ VETO: Falta de explosividad (Vela perezosa) (|rejection_speed|=0.00sigma < 1.8sigma),False,0.0,0
2026-06-01 16:00:00,EURUSD,0,🟢 Estado base detectado (Estado 0). WR 30.46% — Operar con confianza.,False,0.8518,1,0.8518,False,False,🛡️ VETO: Falta de explosividad (Vela perezosa) (|rejection_speed|=0.00sigma < 1.8sigma),False,0.0,0
